districtID,districtName,GD,UNM,EUROGEO,LAB,NEWGEORGIA
3,საბურთალოს საარჩევნო ოლქი,დავით სერგეენკო,,,,
2,ვაკის საარჩევნო ოლქი,ნოდარ ტურძელაძე,,ელენე ხოშტარია,,
8,გლდანის საარჩევნო ოლქი,ლევან კობიაშვილი,ნიკა მელია,,,
5,სამგორის საარჩევნო ოლქი,სოზარ სუბარი,ლევან ხაბეიშვილი,,,
4,ისნის საარჩევნო ოლქი,კახი კახიშვილი,,,,გიორგი ვაშაძე
1,მთაწმინდა-კრწანისის საარჩევნო ოლქი ,ბექა ოდიშარია,,შალვა შავგულიძე,,
7,ნაძალადევის საარჩევნო ოლქი,მიხეილ ყაველაშვილი,,,შალვა ნათელაშვილი,
6,დიდუბე-ჩუღურეთის საარჩევნო ოლქი ,გია ვოლსკი,,,,
11,მცხეთა-დუშეთი-თიანეთი-ყაზბეგის საარჩევნო ოლქი,შალვა კერესელიძე,,,,
10,თელავი-ახმეტა-ყვარელი-ლაგოდეხის საარჩევნო ოლქი,ირაკლი ქადაგიშვილი,,,,
9,გურჯაანი-საგარეჯო-სიღნაღი-დედოფლისწყაროს საარჩევნო ოლქი,დავით სონღულაშვილი,,,,
12,რუსთავის საარჩევნო ოლქი,ნინო ლაცაბიძე,,,,
13,მარნეული-გარდაბნის საარჩევნო ოლქი,ზაურ დარგალი,,,,
14,ბოლნისი-დმანისი-თეთრიწყარო-წალკის საარჩევნო ოლქი ,გოგი მეშველიანი,,,,
16,გორი-კასპის საარჩევნო ოლქი,გიორგი ხოჯევანიშვილი,,,,
15,ხაშური-ქარელის საარჩევნო ოლქი,ზაზა დუგლაძე,,,,
17,ახალციხე-ადიგენი-ბორჯომი-ასპინძის საარჩევნო ოლქი,ანტონ ობოლაშვილი,,,,
18,ახალქალაქი-ნინოწმინდის საარჩევნო ოლქი ,სამველ მანუკიანი,,,,
23,ქუთაისის საარჩევნო ოლქი,ზაზა ლომინაძე,გრიგოლ ვაშაძე ???,,,
20,საჩხერე-ჭიათურა-ხარაგაულის საარჩევნო ოლქი,პაატა კვიჟინაძე,,,,
21,ზესტაფონი-ბაღდათი-თერჯოლა-ტყიბულის საარჩევნო ოლქი,ბეჟან წაქაძე,,,,
22,სამტრედია-წყალტუბო-ვანი-ხონის საარჩევნო ოლქი ,გივი ჭიჭინაძე,,,,
19,ამბროლაური-ონი-ცაგერი-მესტია-ლენტეხის საარჩევნო ოლქი,გოჩა ენუქიძე,,,,
27,ზუგდიდის საარჩევნო ოლქი,ირაკლი ჩიქოვანი,,,,
26,ფოთი-ხობი-სენაკის საარჩევნო ოლქი,ირაკლი ხახუბია,,,,
25,აბაშა-მარტვილი-წალენჯიხა-ჩხოროწყუს საარჩევნო ოლქი,ალექსანდრე მოწერელია,,,,
24,ოზურგეთი-ლანჩხუთი-ჩოხატაურის საარჩევნო ოლქი,ვასილ ჩიგოგიძე,,,,
28,ბათუმის საარჩევნო ოლქი,რესან კონცელიძე,,,,
29,ქობულეთის საარჩევნო ოლქი,ზაალ მიქელაძე,,,,
30,ხულო-შუახევი-ქედისა და ხელვაჩაურის საარჩევნო ოლქი,ანზორ ბოლქვაძე,,,,